Value,Disaggregation combinations using this value,Number of indicators
_L_ACS_NOWORK,1,1
_L_ACS_RETIRED,1,1
_L_ACS_STUDENT,1,1
_L_ACS_WORK,1,1
_L_ASS_GRANT,1,1
_L_ASS_LOAN,1,1
_L_ASS_LOAN_GRANT,1,1
_L_CNT_BY,1,1
_L_CNT_CN,1,1
_L_CNT_HU,1,1
_L_CNT_KZ,1,1
_L_CNT_RU,1,1
_L_CNT_TJ,1,1
_L_COFOG_GF01,1,1
_L_COFOG_GF04,3,2
_L_COFOG_GF05,1,1
_L_COFOG_GF06,3,2
_L_COFOG_GF07,3,2
_L_COFOG_GF08,1,1
_L_COFOG_GF09,3,2
_L_COFOG_GF10,1,1
_L_COFOG_T,2,1
_L_CROP_PROD,1,1
_L_CSE_AGE,2,1
_L_CSE_DISAB,2,1
_L_CSE_DOM,2,1
_L_CSE_ECON_INEX,1,1
_L_CSE_FAMILY,2,1
_L_CSE_LACK_IRR,1,1
_L_CSE_MARR,2,1
_L_CSE_MATDIFF,2,1
_L_CSE_NAT_DIS,1,1
_L_CSE_NODOC,2,1
_L_CSE_NOLANG,2,1
_L_CSE_OTH_REAS,1,1
_L_CSE_OTHER,2,1
_L_CSE_PARENTS,2,1
_L_CSE_REM_STON,1,1
_L_CSE_SALIN_WAT,1,1
_L_CSE_SEASWORK,2,1
_L_CSE_SICK,2,1
_L_CSE_TRANSPORT,2,1
_L_CSE_UNWILL,2,1
_L_CSE_WORK,2,1
_L_EDU_OTH,1,1
_L_EEX_CHARPLN,1,1
_L_EEX_EPIS,1,1
_L_EEX_NATRES,1,1
_L_EEX_NES,1,1
_L_EEX_OTHER,1,1
_L_EEX_OTHER_BIO,1,1
_L_EEX_POL,1,1
_L_EEX_PROTAN,1,1
_L_EEX_PROTTPLN,1,1
_L_EEX_RD,1,1
_L_EEX_VET,1,1
_L_HOUS_EXTR_POOR,2,1
_L_HOUS_ONL_PERS_WORK,2,1
_L_HOUS_POOR,2,1
_L_HOUS_WITH_CHILD,2,1
_L_HOUS_WITH_PERS_WORK,2,1
_L_HOUS_WITHOUT_CHILD,2,1
_L_HOUS_WITHOUT_PERS_WORK,2,1
_L_INC_CONT_DED,1,1
_L_INC_NON_FIN,1,1
_L_INC_NON_TAX,1,1
_L_INC_OFF_TRANS,1,1
_L_INC_TAX,1,1
_L_LIVEST_PROD,1,1
_L_POL_CO,1,1
_L_POL_GASLIQ,1,1
_L_POL_NOX,1,1
_L_POL_S02,1,1
_L_POL_SOLID,1,1
_L_SCH_ATT,1,1
_L_SCH_NOT_ATT,1,1
_L_SPC_AMPH_REP,2,2
_L_SPC_BIRD,2,2
_L_SPC_FISH,1,1
_L_SPC_INSEC,1,1
_L_SPC_MAMM,2,2
_L_SPC_PLANT_MUSH,1,1
_L_TCH_PR_SCH_1_4,1,1
_L_TCH_PR_SCH_EDU,1,1
_L_TCH_PR_SEC_SCH_5_11,1,1
_L_WR_BURN,1,1
_L_WR_BURYING,1,1
_L_WR_COL_TR,1,1
_L_WR_DUM_GAR,1,1
_L_WR_GAR_CH,1,1
_L_WS_AQUIFER,1,1
_L_WS_NATURAL,1,1
IHR_01,1,1
IHR_02,1,1
IHR_03,1,1
IHR_04,1,1
IHR_05,1,1
IHR_06,1,1
IHR_07,1,1
IHR_08,1,1
IHR_09,1,1
IHR_10,1,1
IHR_11,1,1
IHR_12,1,1
IHR_13,1,1
IO_ADB,2,1
IO_ECOSOC,2,1
IO_IBRD,2,1
IO_IFC,2,1
IO_IMF,2,1
IO_UNGA,2,1
IO_WTO,2,1
IS_256KT2M,1,1
IS_2MT10M,1,1
IS_GE10M,1,1
MOT_AIR,2,1
MOT_BUS,1,1
MOT_PIP,1,1
MOT_RAI,2,1
MOT_ROA,1,1
MOT_TAX,1,1
MOT_TRO,1,1
MOT_WAT,1,1
NCD_CARDIO,30,1
NCD_CNCR,30,1
NCD_CRESPD,30,1
NCD_DIABTS,30,1
PD_1,1,1
PD_2,1,1
PD_3,1,1
PD_4,1,1
PD_5,1,1
PD_6,1,1
SKILL_ICTATCH,2,1
SKILL_ICTCDV,2,1
SKILL_ICTCMFL,2,1
SKILL_ICTCPT,2,1
SKILL_ICTPRGM,2,1
SKILL_ICTPST,2,1
SKILL_ICTSFWR,2,1
SKILL_ICTSSHT,2,1
SKILL_ICTTRFF,2,1
SPAR2_C01,1,1
SPAR2_C02,1,1
SPAR2_C03,1,1
SPAR2_C04,1,1
SPAR2_C05,1,1
SPAR2_C06,1,1
SPAR2_C07,1,1
SPAR2_C08,1,1
SPAR2_C09,1,1
SPAR2_C10,1,1
SPAR2_C11,1,1
SPAR2_C12,1,1
SPAR2_C13,1,1
SPAR2_C14,1,1
SPAR2_C15,1,1
SPAR_01,1,1
SPAR_02,1,1
SPAR_03,1,1
SPAR_04,1,1
SPAR_05,1,1
SPAR_06,1,1
SPAR_07,1,1
SPAR_08,1,1
SPAR_09,1,1
SPAR_10,1,1
SPAR_11,1,1
SPAR_12,1,1
SPAR_13,1,1
