Year,Value,GeoCode,SERIES
2015,2.0,,_L_KG_020203_1A
2016,1.3,,_L_KG_020203_1A
2017,1.3,,_L_KG_020203_1A
2018,1.1,,_L_KG_020203_1A
2019,0.9,,_L_KG_020203_1A
2020,0.5,,_L_KG_020203_1A
2021,0.6,,_L_KG_020203_1A
2022,0.9,,_L_KG_020203_1A
2023,0.7,,_L_KG_020203_1A
2024,0.5,,_L_KG_020203_1A
2015,52.846005,,_L_KG_020203_1B
2016,47.502069,,_L_KG_020203_1B
2017,52.792095,,_L_KG_020203_1B
2018,58.958873,,_L_KG_020203_1B
2019,55.240237,,_L_KG_020203_1B
2020,40.422043,,_L_KG_020203_1B
2021,35.440295,,_L_KG_020203_1B
2022,41.1,,_L_KG_020203_1B
2023,39.0,,_L_KG_020203_1B
2024,31.0,,_L_KG_020203_1B
