Year,REF_AREA,SEX,GeoCode,Value
2007,,,,105
2008,,,,108
2009,,,,91
2010,,,,90
2011,,,,80
2012,,,,79
2013,,,,64
2014,,,,68
2015,,,,70
2016,,,,60
2017,,,,59
2018,,,,63
2019,,,,55
2020,,,,50
2021,,,,61
2022,,,,37
2023,,,,33
2007,,M,,170
2008,,M,,168
2009,,M,,142
2010,,M,,149
2011,,M,,133
2012,,M,,126
2013,,M,,108
2014,,M,,108
2015,,M,,114
2016,,M,,100
2017,,M,,94
2018,,M,,106
2019,,M,,93
2020,,M,,81
2021,,M,,103
2022,,M,,61
2023,,M,,52
2007,,F,,42
2008,,F,,50
2009,,F,,41
2010,,F,,32
2011,,F,,27
2012,,F,,32
2013,,F,,21
2014,,F,,29
2015,,F,,27
2016,,F,,21
2017,,F,,25
2018,,F,,20
2019,,F,,17
2020,,F,,20
2021,,F,,19
2022,,F,,14
2023,,F,,14
2007,KG05,,KG05,14
2008,KG05,,KG05,28
2009,KG05,,KG05,35
2010,KG05,,KG05,30
2011,KG05,,KG05,13
2012,KG05,,KG05,35
2013,KG05,,KG05,39
2014,KG05,,KG05,21
2015,KG05,,KG05,14
2016,KG05,,KG05,12
2017,KG05,,KG05,33
2018,KG05,,KG05,12
2019,KG05,,KG05,34
2020,KG05,,KG05,35
2021,KG05,,KG05,16
2022,KG05,,KG05,16
2023,KG05,,KG05,10
2007,KG05,M,KG05,28
2008,KG05,M,KG05,51
2009,KG05,M,KG05,59
2010,KG05,M,KG05,45
2011,KG05,M,KG05,27
2012,KG05,M,KG05,48
2013,KG05,M,KG05,59
2014,KG05,M,KG05,37
2015,KG05,M,KG05,24
2016,KG05,M,KG05,12
2017,KG05,M,KG05,62
2018,KG05,M,KG05,15
2019,KG05,M,KG05,48
2020,KG05,M,KG05,54
2021,KG05,M,KG05,32
2022,KG05,M,KG05,25
2023,KG05,M,KG05,17
2008,KG05,F,KG05,5
2009,KG05,F,KG05,9
2010,KG05,F,KG05,14
2012,KG05,F,KG05,22
2013,KG05,F,KG05,18
2014,KG05,F,KG05,4
2015,KG05,F,KG05,4
2016,KG05,F,KG05,12
2017,KG05,F,KG05,4
2018,KG05,F,KG05,8
2019,KG05,F,KG05,19
2020,KG05,F,KG05,15
2022,KG05,F,KG05,7
2023,KG05,F,KG05,4
2007,KG03,,KG03,23
2008,KG03,,KG03,14
2009,KG03,,KG03,15
2010,KG03,,KG03,24
2011,KG03,,KG03,22
2012,KG03,,KG03,24
2013,KG03,,KG03,22
2014,KG03,,KG03,21
2015,KG03,,KG03,29
2016,KG03,,KG03,19
2017,KG03,,KG03,25
2018,KG03,,KG03,24
2019,KG03,,KG03,27
2020,KG03,,KG03,18
2021,KG03,,KG03,36
2022,KG03,,KG03,17
2023,KG03,,KG03,16
2007,KG03,M,KG03,40
2008,KG03,M,KG03,24
2009,KG03,M,KG03,22
2010,KG03,M,KG03,35
2011,KG03,M,KG03,42
2012,KG03,M,KG03,39
2013,KG03,M,KG03,39
2014,KG03,M,KG03,34
2015,KG03,M,KG03,49
2016,KG03,M,KG03,36
2017,KG03,M,KG03,44
2018,KG03,M,KG03,41
2019,KG03,M,KG03,47
2020,KG03,M,KG03,25
2021,KG03,M,KG03,47
2022,KG03,M,KG03,31
2023,KG03,M,KG03,21
2007,KG03,F,KG03,6
2008,KG03,F,KG03,4
2009,KG03,F,KG03,8
2010,KG03,F,KG03,14
2011,KG03,F,KG03,2
2012,KG03,F,KG03,9
2013,KG03,F,KG03,6
2014,KG03,F,KG03,7
2015,KG03,F,KG03,9
2016,KG03,F,KG03,2
2017,KG03,F,KG03,7
2018,KG03,F,KG03,7
2019,KG03,F,KG03,7
2020,KG03,F,KG03,11
2021,KG03,F,KG03,25
2022,KG03,F,KG03,3
2023,KG03,F,KG03,11
2007,KG02,,KG02,341
2008,KG02,,KG02,351
2009,KG02,,KG02,262
2010,KG02,,KG02,330
2011,KG02,,KG02,314
2012,KG02,,KG02,266
2013,KG02,,KG02,248
2014,KG02,,KG02,306
2015,KG02,,KG02,313
2016,KG02,,KG02,194
2017,KG02,,KG02,235
2018,KG02,,KG02,267
2019,KG02,,KG02,294
2020,KG02,,KG02,244
2021,KG02,,KG02,272
2022,KG02,,KG02,179
2023,KG02,,KG02,92
2007,KG02,M,KG02,547
2008,KG02,M,KG02,571
2009,KG02,M,KG02,387
2010,KG02,M,KG02,579
2011,KG02,M,KG02,511
2012,KG02,M,KG02,430
2013,KG02,M,KG02,402
2014,KG02,M,KG02,485
2015,KG02,M,KG02,552
2016,KG02,M,KG02,314
2017,KG02,M,KG02,385
2018,KG02,M,KG02,487
2019,KG02,M,KG02,485
2020,KG02,M,KG02,423
2021,KG02,M,KG02,506
2022,KG02,M,KG02,288
2023,KG02,M,KG02,163
2007,KG02,F,KG02,141
2008,KG02,F,KG02,136
2009,KG02,F,KG02,140
2010,KG02,F,KG02,85
2011,KG02,F,KG02,120
2012,KG02,F,KG02,106
2013,KG02,F,KG02,96
2014,KG02,F,KG02,129
2015,KG02,F,KG02,77
2016,KG02,F,KG02,76
2017,KG02,F,KG02,87
2018,KG02,F,KG02,49
2019,KG02,F,KG02,105
2020,KG02,F,KG02,68
2021,KG02,F,KG02,40
2022,KG02,F,KG02,71
2023,KG02,F,KG02,22
2007,KG04,,KG04,124
2008,KG04,,KG04,93
2009,KG04,,KG04,97
2010,KG04,,KG04,115
2011,KG04,,KG04,99
2012,KG04,,KG04,83
2013,KG04,,KG04,63
2014,KG04,,KG04,55
2015,KG04,,KG04,72
2016,KG04,,KG04,72
2017,KG04,,KG04,81
2018,KG04,,KG04,109
2019,KG04,,KG04,73
2020,KG04,,KG04,72
2021,KG04,,KG04,72
2022,KG04,,KG04,75
2023,KG04,,KG04,61
2007,KG04,M,KG04,216
2008,KG04,M,KG04,146
2009,KG04,M,KG04,145
2010,KG04,M,KG04,189
2011,KG04,M,KG04,172
2012,KG04,M,KG04,141
2013,KG04,M,KG04,117
2014,KG04,M,KG04,87
2015,KG04,M,KG04,121
2016,KG04,M,KG04,141
2017,KG04,M,KG04,139
2018,KG04,M,KG04,165
2019,KG04,M,KG04,130
2020,KG04,M,KG04,122
2021,KG04,M,KG04,94
2022,KG04,M,KG04,122
2023,KG04,M,KG04,108
2007,KG04,F,KG04,31
2008,KG04,F,KG04,39
2009,KG04,F,KG04,47
2010,KG04,F,KG04,39
2011,KG04,F,KG04,23
2012,KG04,F,KG04,23
2013,KG04,F,KG04,8
2014,KG04,F,KG04,22
2015,KG04,F,KG04,22
2017,KG04,F,KG04,22
2018,KG04,F,KG04,50
2019,KG04,F,KG04,14
2020,KG04,F,KG04,21
2021,KG04,F,KG04,49
2022,KG04,F,KG04,26
2023,KG04,F,KG04,13
2007,KG06,,KG06,10
2008,KG06,,KG06,24
2009,KG06,,KG06,27
2010,KG06,,KG06,25
2011,KG06,,KG06,24
2012,KG06,,KG06,37
2013,KG06,,KG06,16
2014,KG06,,KG06,27
2015,KG06,,KG06,40
2016,KG06,,KG06,34
2017,KG06,,KG06,23
2018,KG06,,KG06,34
2019,KG06,,KG06,21
2020,KG06,,KG06,29
2021,KG06,,KG06,26
2022,KG06,,KG06,11
2023,KG06,,KG06,15
2007,KG06,M,KG06,17
2008,KG06,M,KG06,36
2009,KG06,M,KG06,46
2010,KG06,M,KG06,37
2011,KG06,M,KG06,42
2012,KG06,M,KG06,67
2013,KG06,M,KG06,27
2014,KG06,M,KG06,42
2015,KG06,M,KG06,57
2016,KG06,M,KG06,62
2017,KG06,M,KG06,37
2018,KG06,M,KG06,60
2019,KG06,M,KG06,38
2020,KG06,M,KG06,47
2021,KG06,M,KG06,41
2022,KG06,M,KG06,15
2023,KG06,M,KG06,20
2007,KG06,F,KG06,4
2008,KG06,F,KG06,11
2009,KG06,F,KG06,7
2010,KG06,F,KG06,13
2011,KG06,F,KG06,5
2012,KG06,F,KG06,7
2013,KG06,F,KG06,5
2014,KG06,F,KG06,12
2015,KG06,F,KG06,23
2016,KG06,F,KG06,5
2017,KG06,F,KG06,9
2018,KG06,F,KG06,8
2019,KG06,F,KG06,3
2020,KG06,F,KG06,10
2021,KG06,F,KG06,12
2022,KG06,F,KG06,7
2023,KG06,F,KG06,10
2007,KG07,,KG07,36
2008,KG07,,KG07,44
2009,KG07,,KG07,44
2010,KG07,,KG07,35
2011,KG07,,KG07,26
2012,KG07,,KG07,55
2013,KG07,,KG07,37
2014,KG07,,KG07,41
2015,KG07,,KG07,68
2016,KG07,,KG07,63
2017,KG07,,KG07,23
2018,KG07,,KG07,57
2019,KG07,,KG07,90
2020,KG07,,KG07,74
2021,KG07,,KG07,125
2022,KG07,,KG07,44
2023,KG07,,KG07,40
2007,KG07,M,KG07,54
2008,KG07,M,KG07,89
2009,KG07,M,KG07,79
2010,KG07,M,KG07,69
2011,KG07,M,KG07,43
2012,KG07,M,KG07,109
2013,KG07,M,KG07,74
2014,KG07,M,KG07,65
2015,KG07,M,KG07,95
2016,KG07,M,KG07,125
2017,KG07,M,KG07,46
2018,KG07,M,KG07,106
2019,KG07,M,KG07,171
2020,KG07,M,KG07,147
2021,KG07,M,KG07,225
2022,KG07,M,KG07,88
2023,KG07,M,KG07,65
2007,KG07,F,KG07,18
2009,KG07,F,KG07,9
2011,KG07,F,KG07,9
2014,KG07,F,KG07,16
2015,KG07,F,KG07,40
2018,KG07,F,KG07,8
2019,KG07,F,KG07,8
2021,KG07,F,KG07,22
2023,KG07,F,KG07,15
2007,KG08,,KG08,158
2008,KG08,,KG08,160
2009,KG08,,KG08,119
2010,KG08,,KG08,111
2011,KG08,,KG08,77
2012,KG08,,KG08,94
2013,KG08,,KG08,74
2014,KG08,,KG08,79
2015,KG08,,KG08,63
2016,KG08,,KG08,79
2017,KG08,,KG08,79
2018,KG08,,KG08,71
2019,KG08,,KG08,48
2020,KG08,,KG08,40
2021,KG08,,KG08,64
2022,KG08,,KG08,30
2023,KG08,,KG08,44
2007,KG08,M,KG08,242
2008,KG08,M,KG08,222
2009,KG08,M,KG08,169
2010,KG08,M,KG08,168
2011,KG08,M,KG08,124
2012,KG08,M,KG08,130
2013,KG08,M,KG08,127
2014,KG08,M,KG08,118
2015,KG08,M,KG08,92
2016,KG08,M,KG08,134
2017,KG08,M,KG08,111
2018,KG08,M,KG08,107
2019,KG08,M,KG08,77
2020,KG08,M,KG08,59
2021,KG08,M,KG08,104
2022,KG08,M,KG08,42
2023,KG08,M,KG08,62
2007,KG08,F,KG08,77
2008,KG08,F,KG08,101
2009,KG08,F,KG08,71
2010,KG08,F,KG08,56
2011,KG08,F,KG08,31
2012,KG08,F,KG08,59
2013,KG08,F,KG08,23
2014,KG08,F,KG08,41
2015,KG08,F,KG08,34
2016,KG08,F,KG08,26
2017,KG08,F,KG08,47
2018,KG08,F,KG08,36
2019,KG08,F,KG08,21
2020,KG08,F,KG08,22
2021,KG08,F,KG08,26
2022,KG08,F,KG08,19
2023,KG08,F,KG08,26
2007,KG11,,KG11,241
2008,KG11,,KG11,243
2009,KG11,,KG11,210
2010,KG11,,KG11,163
2011,KG11,,KG11,160
2012,KG11,,KG11,122
2013,KG11,,KG11,99
2014,KG11,,KG11,100
2015,KG11,,KG11,81
2016,KG11,,KG11,81
2017,KG11,,KG11,66
2018,KG11,,KG11,65
2019,KG11,,KG11,33
2020,KG11,,KG11,32
2021,KG11,,KG11,52
2022,KG11,,KG11,41
2023,KG11,,KG11,47
2007,KG11,M,KG11,424
2008,KG11,M,KG11,401
2009,KG11,M,KG11,370
2010,KG11,M,KG11,293
2011,KG11,M,KG11,276
2012,KG11,M,KG11,212
