Year,concept.REF_AREA,concept.SEX,Value
2010,,,13.4
2013,,,8.5
2014,,,7.7
2015,,,6.7
2016,,,7.6
2017,,,4.3
2018,,,4.5
2019,,,2.5
2010,,CL_SEX.F,1.7
2013,,CL_SEX.F,0.4
2014,,CL_SEX.F,1.1
2015,,CL_SEX.F,0.4
2016,,CL_SEX.F,0.5
2017,,CL_SEX.F,0.3
2018,,CL_SEX.F,0.4
2019,,CL_SEX.F,0.1
2010,,CL_SEX.M,25.3
2013,,CL_SEX.M,16.8
2014,,CL_SEX.M,14.5
2015,,CL_SEX.M,13.1
2016,,CL_SEX.M,14.8
2017,,CL_SEX.M,8.5
2018,,CL_SEX.M,8.8
2019,,CL_SEX.M,4.9
2010,CL_AREA.KG05,,1.6
2013,CL_AREA.KG05,,1.5
2014,CL_AREA.KG05,,1.3
2015,CL_AREA.KG05,,1.2
2016,CL_AREA.KG05,,2.2
2017,CL_AREA.KG05,,0.8
2018,CL_AREA.KG05,,0.4
2019,CL_AREA.KG05,,0.2
2016,CL_AREA.KG05,CL_SEX.F,0.4
2018,CL_AREA.KG05,CL_SEX.F,0.0
2019,CL_AREA.KG05,CL_SEX.F,0.0
2010,CL_AREA.KG05,CL_SEX.M,3.1
2013,CL_AREA.KG05,CL_SEX.M,3.0
2014,CL_AREA.KG05,CL_SEX.M,2.5
2015,CL_AREA.KG05,CL_SEX.M,2.4
2016,CL_AREA.KG05,CL_SEX.M,3.9
2017,CL_AREA.KG05,CL_SEX.M,1.5
2018,CL_AREA.KG05,CL_SEX.M,0.8
2019,CL_AREA.KG05,CL_SEX.M,0.4
2010,CL_AREA.KG03,,5.2
2013,CL_AREA.KG03,,3.2
2014,CL_AREA.KG03,,2.3
2015,CL_AREA.KG03,,1.2
2016,CL_AREA.KG03,,2.0
2017,CL_AREA.KG03,,1.9
2018,CL_AREA.KG03,,1.5
2019,CL_AREA.KG03,,0.7
2010,CL_AREA.KG03,CL_SEX.F,0.4
2014,CL_AREA.KG03,CL_SEX.F,0.2
2017,CL_AREA.KG03,CL_SEX.F,0.2
2018,CL_AREA.KG03,CL_SEX.F,0.0
2019,CL_AREA.KG03,CL_SEX.F,0.0
2010,CL_AREA.KG03,CL_SEX.M,10.1
2013,CL_AREA.KG03,CL_SEX.M,6.4
